id,Ateam,BTeam,Ascore,Bscore,Awin
1,Russia,Saudi Arabia,5,0,1.0
2,Egypt,Uruguay,0,1,0.0
3,Morocco,Iran,0,1,0.0
4,Portugal,Spain,3,3,0.5
5,France,Australia,2,1,1.0
6,Argentina,Iceland,1,1,0.5
7,Peru,Denmark,0,1,0.0
8,Croatia,Nigeria,2,0,1.0
9,Costa Rica,Serbia,0,1,0.0
10,Germany,Mexico,0,1,0.0
11,Brazil,Switzerland,1,1,0.5
12,Sweden,South Korea,1,0,1.0
13,Belgium,Panama,3,0,1.0
14,Tunisia,England,1,2,0.0
15,Colombia,Japan,1,2,0.0
16,Poland,Senegal,1,2,0.0
17,Russia,Egypt,3,1,1.0
18,Portugal,Morocco,1,0,1.0
19,Uruguay,Saudi Arabia,1,0,1.0
20,Iran,Spain,0,1,0.0
21,Denmark,Australia,1,1,0.5
22,France,Peru,1,0,1.0
23,Argentina,Croatia,0,3,0.0
24,Brazil,Costa Rica,2,0,1.0
25,Nigeria,Iceland,2,0,1.0
26,Serbia,Switzerland,1,2,0.0
27,Belgium,Tunisia,5,2,1.0
28,South Korea,Mexico,1,2,0.0
29,Germany,Sweden,2,1,1.0
30,England,Panama,6,1,1.0
31,Japan,Senegal,2,2,0.5
32,Poland,Colombia,0,3,0.0
33,Saudi Arabia,Egypt,2,1,1.0
34,Uruguay,Russia,3,0,1.0
35,Iran,Portugal,1,1,0.5
36,Spain,Morocco,2,2,0.5
37,Denmark,France,0,0,0.5
38,Australia,Peru,0,2,0.0
39,Nigeria,Argentina,1,2,0.0
40,Iceland,Croatia,1,2,0.0
41,Mexico,Sweden,0,3,0.0
42,South Korea,Germany,2,0,1.0
43,Switzerland,Costa Rica,2,2,0.5
44,Serbia,Brazil,0,2,0.0
